relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background182	0.183673	0.07856835	0.0727441	0.146462	0.1273035	0.0996936
background183	0.0480341	0.05801675	0.0648808	0.102777	0.114599	0.10185
background184	0.0591491	0.06995145	0.0625951	0.151436	0.1206425	0.102506
background185	0.0702878	0.07591025	0.0681744	0.137654	0.113851	0.10047
background186	0.0406025	0.05104395	0.0622459	0.123104	0.1069015	0.0969216
background187	0.111157	0.079201	0.0677461	0.0683431	0.1116745	0.09753705
background188	0.0264589	0.09300585	0.0630242	0.0632179	0.09539485	0.1097755
background189	0.00360182	0.0983308	0.0645469	0.159342	0.1085375	0.10047
background190	0.141148	0.0884419	0.0618965	0.15148	0.1282835	0.10003525
background191	-0.00444111	0.07490715	0.0714286	0.114106	0.108971	0.099259
background192	-0.0100292	0.0802628	0.0626357	0.151436	0.1263195	0.102817
background193	0.115423	0.09399435	0.0639926	0.156827	0.1215375	0.0904079
background194	0.000554312	0.09769325	0.064469	0.207999	0.116547	0.0968716
background195	0.125163	0.1028205	0.0626357	0.0639717	0.1249725	0.10047
background196	0.0673727	0.08434885	0.0669435	0.0989055	0.1266975	0.09656025
background197	0.121821	0.09228205	0.0609299	0.133175	0.1231575	0.1110645
background198	0.0392824	0.0615498	0.0628487	0.191489	0.122986	0.1018675
background199	0.0562575	0.0764464	0.0676127	0.169836	0.1075065	0.0923461
background200	0.0754846	0.0718588	0.0626419	0.0552299	0.1228225	0.0925301
background201	0.0869784	0.122309	0.0639992	0.147679	0.1135525	0.1043205
background202	0.0894014	0.101414	0.0639695	0.13537	0.1190975	0.1010365
background203	0.163944	0.06919155	0.0596383	0.114678	0.08809235	0.1040575
background204	0.17956	0.09393035	0.0586776	0.17427	0.113449	0.1003385
background205	0.119216	0.0704818	0.0702878	0.212694	0.1101315	0.09738755
background206	0.0790882	0.086582	0.0588324	0.0557981	0.1048065	0.1052615
background207	0.120181	0.09554195	0.0589913	0.215993	0.1197865	0.0991667
background208	0.00010203	0.0721749	0.0702622	0.0678426	0.091102	0.106499
background209	0.0320361	0.08505585	0.0684522	0.161477	0.125953	0.1023945
background210	0.0643072	0.1068265	0.0636915	0.168257	0.1259265	0.1022715
background211	0.0424949	0.05596595	0.0626357	0.113276	0.1176975	0.1041025
background212	0.100676	0.104533	0.0655992	0.22943	0.08803575	0.09927735
background213	0.00453524	0.07582475	0.0552963	0.110532	0.11007	0.10007875
background214	0.0106174	0.0698504	0.0651025	0.110532	0.135552	0.0904079
background215	0.0363558	0.06936355	0.0667736	0.0725995	0.1233165	0.09489615
background216	0.00108931	0.08550485	0.0585841	0.115767	0.121742	0.1020295
background217	0.0210253	0.07139645	0.0710011	0.194994	0.11086	0.0968353
background218	0.000207195	0.0714975	0.0665285	0.168276	0.1163365	0.097289
background219	0.0950543	0.110788	0.0716638	0.0583555	0.1038345	0.100849
background220	0.00684578	0.0828214	0.0633084	0.0663268	0.116391	0.0941756
background221	0.153762	0.067622	0.0616075	0.192906	0.1051165	0.099259
background222	0.0484903	0.08932585	0.0629676	0.109948	0.119039	0.1008285
background223	0.102748	0.06470965	0.0718548	0.105642	0.0644411	0.0970952
background224	0.0578285	0.0675702	0.0658961	0.183942	0.1003605	0.09700695
background225	0.0315331	0.0736513	0.0644743	0.143883	0.125301	0.0935266
background226	0.0816441	0.0645813	0.0612245	0.139376	0.1100845	0.09471395
background227	0.0227062	0.115993	0.0698672	0.0600488	0.126676	0.0994324
background228	0.0039691	0.07677025	0.0694454	0.139638	0.0943253	0.1003335
background229	0.0549213	0.0863049	0.0653614	0.109006	0.102409	0.0995933
background230	0.0970428	0.09665675	0.0642612	0.211435	0.12266	0.0977099
background231	0.171836	0.0654477	0.0626357	0.119215	0.1213975	0.10047
background232	0.0306122	0.108231	0.0634354	0.147003	0.1278535	0.0992186
background233	-0.00444111	0.08622415	0.0702878	0.0979823	0.1504305	0.102041
background234	-7.84895e-17	0.08767145	0.0634354	0.155199	0.102835	0.0957146
background235	0.093716	0.1008425	0.0708127	0.123463	0.1289335	0.09354655
background236	0.0626357	0.07687485	0.0625581	0.151023	0.110656	0.1005385
background237	-0.00661829	0.0807044	0.0693089	0.158227	0.107133	0.09987605
background238	0.0421473	0.09036395	0.0636745	0.157354	0.1262515	0.0971315
background239	0.142857	0.05693	0.0642478	0.244616	0.0998702	0.0951641
background240	-0.00321991	0.07616295	0.0631162	0.132748	0.1237485	0.10058
background241	0.0972086	0.07259885	0.061852	0.10645	0.112136	0.1057505
background242	0.0946369	0.0911843	0.0623324	0.0931537	0.1327575	0.0977239
background243	0.132402	0.08014025	0.0689661	0.0563108	0.108602	0.0956608
background244	0.123982	0.0785187	0.0669029	0.170929	0.127918	0.09427035
background245	0.0904079	0.08951795	0.0645469	0.199981	0.1305135	0.1019765
background246	0.13066	0.0936579	0.0658199	0.111502	0.09565435	0.1034255
background247	0.013374	0.08505265	0.0565692	0.195968	0.09089345	0.097763
background248	0.00448231	0.0703323	0.0602292	0.220435	0.131867	0.1037135
background249	0.042216	0.0730994	0.0654234	0.177702	0.1102355	0.100447
background250	-0.00634366	0.0679522	0.0584379	0.182798	0.1222345	0.099098
background251	0.0218467	0.07006295	0.0595701	0.080726	0.129679	0.0982781
background252	0.157771	0.09177515	0.0652399	0.0659529	0.1162215	0.100292
background253	0.0411099	0.0859478	0.0681829	0.0822081	0.1189445	0.100444
background254	0.191069	0.0914482	0.0622463	0.180998	0.118121	0.0946766
background255	0.0513592	0.10027725	0.0677154	0.0960666	0.10005235	0.0938207
background256	0.0568809	0.080998	0.0601016	0.0860557	0.1160945	0.09422715
background257	0.180282	0.07655	0.0702878	0.0977099	0.1290525	0.09851005
background258	0.112985	0.0965003	0.0670696	0.094267	0.1271925	0.102041
background259	0.064609	0.1017215	0.0623324	0.237427	0.123073	0.1020845
background260	-0.00711337	0.05504195	0.0602856	0.192055	0.1318015	0.09425085
background261	0.000207195	0.0912018	0.0693675	0.158233	0.108776	0.09728875
background262	0.133922	0.08387915	0.0616075	0.163866	0.1172985	0.103023
background263	0.0108867	0.08346225	0.0626357	0.137485	0.104101	0.097636
background264	0.0401151	0.08304105	0.0616075	0.0683008	0.145032	0.09616615
background265	0.131716	0.08001275	0.063679	0.135876	0.11262	0.1030445
background266	0.096121	0.05941005	0.0635789	0.18503	0.14412	0.0950828
background267	0.133679	0.1070125	0.0693017	0.163141	0.1044935	0.09857605
background268	0.120596	0.0860381	0.0669375	0.132653	0.1120615	0.0997831
background269	0.0382811	0.0947956	0.0631507	0.0681744	0.124515	0.1027755
background270	0.128384	0.0593939	0.0630878	0.119997	0.106623	0.1070475
background271	0.054744	0.0661025	0.0651994	0.085359	0.1148425	0.107816
background272	0.0210253	0.06687225	0.0619534	0.0840227	0.120596	0.09597635
background273	-0.00152106	0.0757182	0.0637211	0.125644	0.1134285	0.102748
background274	0.000104123	0.07402705	0.0636915	0.10047	0.116579	0.1069635
background275	0.0739679	0.06437605	0.0670696	0.173366	0.105422	0.1028195
background276	0.0552204	0.0873576	0.0670696	0.123002	0.1370075	0.1015045
background277	0.114011	0.0835508	0.0698672	0.162479	0.1102905	0.1005435
background278	0.00431574	0.09703325	0.0629158	0.184773	0.127862	0.1030805
background279	0.0301759	0.0917829	0.0623324	0.083644	0.109182	0.09889665
background280	0.0108473	0.06397415	0.0649835	0.19354	0.140141	0.0987487
background281	0.0513592	0.08840175	0.0625761	0.10032	0.1143225	0.09786635
background282	0.0455922	0.08766	0.0651763	0.0933209	0.09571455	0.09320975
background283	0.006148	0.0638641	0.0693089	0.104998	0.1070025	0.09776135
background284	0.0645794	0.0747422	0.0665285	0.158677	0.1148285	0.1028485
background285	0.0752096	0.04726195	0.0658905	0.0869942	0.123285	0.1003335
background286	-0.00682479	0.07038645	0.0650731	0.191224	0.114514	0.0934464
background287	0.072489	0.09249	0.0633496	0.100937	0.117394	0.0996905
background288	0.0404876	0.1218055	0.0693089	0.193012	0.09910695	0.0956309
background289	0.0653248	0.08855805	0.0626357	0.123989	0.1199045	0.10047
background290	-0.00825933	0.07337105	0.059981	0.0552204	0.0973546	0.1034485
background291	0.109627	0.1004077	0.0645455	0.150847	0.1267155	0.0977099
background292	0.13066	0.0631498	0.0695295	0.0803474	0.0928553	0.10019875
background293	0.16935	0.08478755	0.0658331	0.177448	0.1060455	0.0999133
background294	0.0904291	0.09012425	0.0647835	0.10805	0.116602	0.1022295
background295	0.0736609	0.0912187	0.0718548	0.187216	0.107782	0.1028225
background296	0.0988242	0.07048895	0.0719507	0.0699724	0.1153995	0.1047475
background297	0.112739	0.08146735	0.0633084	0.12774	0.1087795	0.0974114
background298	0.130006	0.08240875	0.0626357	0.157286	0.121161	0.102041
background299	0.0411099	0.093039	0.0626357	0.137685	0.1142105	0.1031195
background300	0.0044133	0.0530604	0.0628487	0.072026	0.118743	0.1053395
background301	0.0287731	0.08537135	0.0626357	0.171615	0.130751	0.1031825
background302	0.117975	0.09470645	0.0697167	0.138737	0.1100095	0.104303
background303	0.0616323	0.0655189	0.0659759	0.147023	0.1165315	0.10047
background304	0.0308595	0.110967	0.0618557	0.167088	0.10657	0.100737
background305	0.115626	0.09000165	0.063562	0.129465	0.106348	0.10149
background306	0.0164971	0.0841447	0.0645065	0.173469	0.1359375	0.1012985
background307	0.0680595	0.1041295	0.064248	0.0967587	0.1032875	0.09983565
background308	0.0780773	0.07541285	0.0651114	0.131148	0.09258045	0.0986038
background309	0.0193898	0.1045965	0.0678667	0.170929	0.08566075	0.0979515
background310	0.000108507	0.05379725	0.0662626	0.101455	0.10007595	0.0992917
background311	0.0242617	0.07779665	0.0578285	0.094213	0.118311	0.104511
background312	0.0785305	0.07781535	0.0670696	0.161664	0.11184	0.09940465
background313	0.0899054	0.1130445	0.0644006	0.111341	0.14862	0.104614
background314	0.0669029	0.1134665	0.0626216	0.123559	0.109346	0.1071265
background315	0.154153	0.07840925	0.0632956	0.0756038	0.1186775	0.1107975
background316	0.00132618	0.0714899	0.0568738	0.0923847	0.1039645	0.09985325
background317	0.0620367	0.07777255	0.0643734	0.203188	0.111071	0.099218
background318	0.0268162	0.07524495	0.0598512	0.157529	0.10034135	0.097804
background319	0.0803474	0.08653035	0.059883	0.120596	0.107404	0.1028205
background320	0.0857666	0.0726797	0.0670696	0.206295	0.1159525	0.09574925
background321	0.0253353	0.09194125	0.0644206	0.178769	0.1069205	0.1019375
background322	0.116943	0.07833745	0.0702878	0.11328	0.10875	0.1017805
background323	0.100695	0.110451	0.0721892	0.092523	0.1258455	0.101052
background324	0.0232861	0.09775395	0.0681744	0.123466	0.1127315	0.105518
