relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background202	0.132223	0.1141825	0.105366	0.020608	0.0811424	0.06944
background203	0.1646515	0.09839305	0.104211	0.14533	0.06056955	0.073592
background204	0.105623	0.1168645	0.106828	0.0957165	0.07403795	0.0750365
background205	0.182747	0.1220135	0.105027	0.0513592	0.0607297	0.0616075
background206	0.11164	0.102591	0.0995479	0.302431	0.05609515	0.0663408
background207	0.1544355	0.120941	0.102748	0.377551	0.0505961	0.0639726
background208	0.1801325	0.1027955	0.0995611	0.13082	0.0581508	0.0691026
background209	0.136258	0.1181145	0.107696	0.020005	0.06207435	0.0741363
background210	0.1797575	0.1029235	0.102111	0.0262351	0.06841895	0.063903
background211	0.1187245	0.1143515	0.105911	0.114618	0.0683224	0.066417
background212	0.1127845	0.11595	0.109627	0.0705723	0.05170805	0.0750494
background213	0.20144	0.12308	0.101299	0.128787	0.0951871	0.0646745
background214	0.1423975	0.117242	0.10259	0.193915	0.0882463	0.0673928
background215	0.0948768	0.1117215	0.103051	0.0326227	0.05680995	0.0705439
background216	0.148598	0.1215545	0.104211	0.0177927	0.0600795	0.0722558
background217	0.138423	0.134525	0.10259	0.0355235	0.0762831	0.0730328
background218	0.1569805	0.1029315	0.101061	-7.84895e-17	0.0635885	0.0750365
background219	0.08170015	0.09983255	0.108419	0.00830243	0.07014075	0.0670696
background220	0.08772465	0.12248	0.102078	0.0644206	0.0791471	0.0718548
background221	0.185035	0.1263325	0.100849	0.0196468	0.0603483	0.068655
background222	0.1342745	0.0964971	0.100849	0.29156	0.076939	0.0669435
background223	0.1666225	0.1222735	0.102628	0.108605	0.07484785	0.0721892
background224	0.2308565	0.132685	0.105722	0.322664	0.05073455	0.0702878
background225	0.1409265	0.100697	0.105208	-0.000393484	0.04909875	0.0672081
background226	0.1684875	0.1250635	0.101767	0.190654	0.091377	0.0670696
background227	0.09455765	0.115732	0.10561	0.173375	0.07896585	0.0718548
background228	0.0900493	0.104579	0.10259	-0.010152	0.0539654	0.0705723
background229	0.11813	0.115274	0.106877	0.159386	0.0800465	0.0721892
background230	0.1154605	0.117261	0.103051	0.052205	0.059456	0.0735459
background231	0.1629535	0.112047	0.103653	0.0231634	0.0779334	0.0688817
background232	0.139488	0.132242	0.0929059	0.0163793	0.07452695	0.0710652
background233	0.1523795	0.1147395	0.0999355	0.0589346	0.0701399	0.0591165
background234	0.133015	0.127018	0.109189	0.178172	0.06864135	0.0616075
background235	0.1349735	0.131219	0.0995611	0.161567	0.065756	0.0768307
background236	0.1087905	0.116091	0.103594	0.262478	0.06612775	0.0721892
background237	0.09863785	0.1316565	0.0995121	0.0180192	0.0843482	0.073592
background238	0.124764	0.124788	0.106759	0.0981156	0.0706028	0.0630272
background239	0.152933	0.114567	0.110906	0.0473501	0.03687435	0.0681829
background240	0.1927915	0.1428445	0.103047	0.261534	0.0690953	0.0794795
background241	0.0740643	0.1064115	0.104773	0.101766	0.0616075	0.0718548
background242	0.10247085	0.123777	0.109952	0.00995151	0.0957977	0.0704467
background243	0.159417	0.1076345	0.10047	0.0215422	0.0462087	0.0599338
background244	0.165663	0.122845	0.105902	0.205098	0.06738495	0.0639867
background245	0.1379475	0.097902	0.102891	0.0652495	0.0742841	0.0712172
background246	0.09769405	0.1130445	0.105161	0.0869019	0.05576815	0.0692983
background247	0.1520925	0.118285	0.106274	0.0326531	0.0495585	0.0718548
background248	0.112414	0.1117185	0.107287	0.330779	0.08228385	0.0700852
background249	0.1615735	0.1141405	0.102041	0.0365487	0.0756258	0.0702878
background250	0.173573	0.1118725	0.0994257	0.000362812	0.07299445	0.0708494
background251	0.1366615	0.1278045	0.110642	0.00882654	0.0750654	0.0685845
background252	0.1362905	0.1141215	0.104211	0.0629786	0.05535535	0.0730561
background253	0.161627	0.1077855	0.105506	0.11558	0.0734623	0.0562103
background254	0.10549685	0.0905696	0.0961332	0.0395828	0.0828434	0.0665304
background255	0.134201	0.121809	0.105722	0.0483248	0.0657832	0.0714286
background256	0.1801015	0.117946	0.098877	0.0376136	0.0651542	0.0703119
background257	0.1142845	0.111325	0.103051	0.0626357	0.0620548	0.0751524
background258	0.0883121	0.110532	0.103456	0.122483	0.0432003	0.0696256
background259	0.188208	0.1219805	0.110532	0.0528837	0.0608706	0.0669029
background260	0.145157	0.1132805	0.102748	0.0757022	0.0432483	0.0724222
background261	0.19583	0.120707	0.10619	0.0341975	0.06081515	0.0752206
background262	0.153306	0.1152325	0.105138	0.344402	0.07270035	0.0718289
background263	0.138955	0.1315745	0.103458	0.0563983	0.0891086	0.0704467
background264	0.08704295	0.11386	0.102041	0.22122	0.0625053	0.0670278
background265	0.2736995	0.1060575	0.0977099	0.082101	0.04814115	0.0667163
background266	0.1162145	0.1131505	0.102168	0.0726568	0.05698125	0.0670278
background267	0.1541575	0.133167	0.0999275	0.305001	0.07042465	0.0689381
background268	0.15678	0.105544	0.10634	0.0214777	0.079114	0.0651025
background269	0.155829	0.09032285	0.10259	0.0400274	0.0677801	0.070323
background270	0.226389	0.134252	0.10047	0.300791	0.04290875	0.069596
background271	0.12061	0.1201705	0.103192	-0.000312533	0.09445235	0.0708531
background272	0.106465	0.1224225	0.102481	-0.00387087	0.06814825	0.0682793
background273	0.166577	0.1016995	0.110532	0.0616075	0.06205805	0.0658644
background274	0.1706655	0.1207555	0.103962	0.0584375	0.06226275	0.0770397
background275	0.11632	0.1069595	0.103554	0.0834278	0.06758925	0.0732503
background276	0.1594225	0.11452	0.10259	0.000918001	0.05622715	0.0694239
background277	0.1696375	0.1206735	0.100849	0.000362812	0.08634765	0.0714286
background278	0.14512	0.104536	0.106196	0.20662	0.05199675	0.0657577
background279	0.181032	0.1278785	0.096429	0.00370513	0.09751025	0.0699724
background280	0.1244675	0.1178155	0.10099	0.195218	0.06013495	0.0670696
background281	0.13363	0.108859	0.103352	0.0851648	0.08959625	0.0697609
background282	0.1566905	0.113899	0.103219	0.294103	0.08146905	0.0718548
background283	0.19523	0.106586	0.100849	0.0239033	0.0788541	0.0669029
background284	0.124148	0.12261	0.10286	0.0772765	0.0824934	0.0682247
background285	0.0958745	0.107353	0.0958738	0.0308046	0.06475255	0.0702878
background286	0.1830225	0.129794	0.101864	0.205424	0.06762125	0.0645423
background287	0.207265	0.136735	0.103243	0.304992	0.0739672	0.0690222
background288	0.0947506	0.119959	0.102041	-0.00010102	0.06091835	0.069498
background289	0.154709	0.0974002	0.101567	0.00496186	0.0890206	0.0718548
background290	0.08878785	0.09086525	0.105722	0.304053	0.0594914	0.0633654
background291	0.128552	0.0863656	0.110532	0.266954	0.06464215	0.063267
background292	0.155538	0.1215355	0.0993908	0.0565532	0.0663181	0.0656647
background293	0.10351425	0.125925	0.099259	0.062311	0.07295295	0.0621899
background294	0.1581805	0.112651	0.102891	0.307854	0.06030025	0.0669435
background295	0.1029461	0.11073	0.0990183	-0.00046097	0.0725297	0.0698585
background296	0.107437	0.1353795	0.111205	0.0504497	0.0740411	0.067756
background297	0.1269995	0.117557	0.10905	0.0689426	0.07503585	0.0718226
background298	0.146137	0.131814	0.10117	0.0103556	0.069215	0.0684522
background299	0.113935	0.1225105	0.0976676	0.217886	0.06070205	0.0750365
background300	0.1565815	0.1052005	0.100937	0.0454243	0.081275	0.0718548
background301	0.139253	0.125063	0.105506	0.0989429	0.05974475	0.0714858
background302	0.150412	0.122192	0.101343	0.204367	0.05593285	0.0765002
background303	0.126041	0.106554	0.101085	0.0677854	0.0586832	0.0640315
background304	0.117359	0.113853	0.102457	0.072489	0.0636786	0.0718548
background305	0.192975	0.1102305	0.103128	0.084728	0.0644901	0.0698809
background306	0.130825	0.122762	0.103334	0.0243939	0.0614716	0.0735459
background307	0.115437	0.108491	0.105875	0.0804895	0.07800615	0.0740332
background308	0.1266225	0.137394	0.0999189	0.0229995	0.07146	0.0718548
background309	0.169856	0.128012	0.105932	0.0306122	0.0773667	0.0673727
background310	0.1203515	0.117108	0.106442	0.161899	0.06256105	0.0612245
background311	0.139886	0.1138715	0.104971	0.0560223	0.0925338	0.0727072
background312	0.1899845	0.107932	0.104212	0.0100425	0.1008461	0.0721497
background313	0.163709	0.111443	0.104675	-0.00284606	0.07847975	0.0699724
background314	0.1201915	0.119039	0.103241	0.00237347	0.064801	0.0716638
background315	0.093401	0.13004	0.103206	0.0580046	0.06318195	0.065113
background316	0.1398255	0.114447	0.100937	0.102138	0.0598822	0.0712171
background317	0.1345065	0.09908225	0.105554	0.0702878	0.0594173	0.0718548
background318	0.159444	0.129863	0.104675	0.281853	0.0550532	0.0664305
background319	0.14978	0.14147	0.10149	0.144009	0.0704907	0.0641843
background320	0.06108325	0.104211	0.103921	0.0638718	0.07217495	0.0681744
background321	0.1073925	0.1120635	0.10047	0.134844	0.08261645	0.0735459
background322	0.1673935	0.133656	0.101988	0.0760224	0.06166595	0.0728151
background323	0.196545	0.1237175	0.104519	0.0372	0.0893129	0.073592
background324	0.1878	0.113928	0.104588	0.0461598	0.102409	0.068929
background325	0.1837645	0.11301	0.0999685	0.027261	0.08092825	0.0643459
background326	0.1306125	0.1163185	0.103455	0.00779769	0.0729955	0.0742744
background327	0.16542	0.1146225	0.0972724	0.0616075	0.06469385	0.0600329
background328	0.09778125	0.104101	0.104907	0.0718608	0.0672696	0.061852
background329	0.07728795	0.121188	0.107808	0.0750365	0.09040775	0.0706847
background330	0.1599175	0.10112085	0.0956805	0.0620167	0.05209285	0.0669029
background331	0.115379	0.12248	0.10259	0.0669125	0.05498	0.0725995
background332	0.116361	0.1159895	0.102592	-0.000306248	0.0676956	0.0716066
background333	0.135282	0.1112735	0.104553	0.00692089	0.07514385	0.0717425
background334	0.0952951	0.1287225	0.105398	0.0799789	0.0621175	0.0706085
background335	0.15339	0.1144075	0.10756	0.00010203	0.0834228	0.0710652
background336	0.162131	0.10363	0.104643	0.00452682	0.09162855	0.0722831
background337	0.1274555	0.112925	0.101758	0.022883	0.0706764	0.0663408
background338	0.187623	0.114023	0.104111	0.0626357	0.08095945	0.070655
background339	0.1564865	0.1127835	0.111306	0.123387	0.05614585	0.0579365
background340	0.07981235	0.11504	0.102857	0.0324285	0.06964925	0.0636915
background341	0.1419645	0.1220525	0.106847	0.00404467	0.1100795	0.0719517
background342	0.154033	0.105415	0.104119	0.0839942	0.07600505	0.0713998
background343	0.1356955	0.100293	0.103103	0.0846993	0.08035215	0.0679546
background344	0.101561	0.117567	0.105101	0.251716	0.0612239	0.0670696
background345	0.1199197	0.1399385	0.102053	0.00654785	0.073887	0.0643531
background346	0.1227245	0.1317675	0.106426	0.0954655	0.0722862	0.0669029
background347	0.09804035	0.115025	0.110532	0.0598512	0.0735907	0.0626357
background348	0.1733005	0.119686	0.105157	0.361634	0.06525115	0.0673641
background349	0.167576	0.126067	0.10634	0.0867549	0.07296545	0.074432
background350	0.08171995	0.129352	0.0977099	0.158778	0.07682265	0.0663753
background351	0.1284575	0.127526	0.109468	0.0345974	0.06580865	0.0723219
background352	0.1771235	0.1166955	0.104366	0.0282346	0.04565425	0.0677894
background353	0.1423735	0.1172985	0.0968625	0.158874	0.072022	0.0702878
background354	0.120425	0.120779	0.0945274	0.218614	0.06697765	0.066719
background355	0.148575	0.0923461	0.111113	0.295544	0.06955475	0.0644612
background356	0.1178315	0.1159365	0.104211	0.26903	0.0685544	0.0612982
background357	0.1360285	0.1169585	0.109369	0.00995151	0.04676735	0.0725451
background358	0.1512135	0.117038	0.10047	0.277022	0.07578155	0.0726254
background359	0.152326	0.1314595	0.101901	0.0230247	0.07811505	0.0721175
background360	0.1284605	0.114516	0.0996118	0.126609	0.0710927	0.0764904
background361	0.0609083	0.12119	0.100405	0.0468383	0.05587585	0.0738465
background362	0.1180665	0.111193	0.10047	0.175643	0.06589805	0.0730328
background363	0.1087335	0.1166255	0.10259	0.012998	0.0652591	0.0693089
background364	0.1144305	0.1142785	0.10259	0.203927	0.08519955	0.069498
background365	0.145306	0.1010745	0.102061	0.0179903	0.0725858	0.0627942
background366	0.132571	0.1222675	0.106393	-0.000408747	0.0793994	0.0708531
background367	0.1315205	0.109627	0.0941489	0.0471755	0.0623409	0.0714276
background368	0.180012	0.1238315	0.103939	-0.000905801	0.07733275	0.0669029
background369	0.1111415	0.11513	0.111812	0.107487	0.06467735	0.0687536
background370	0.190359	0.1171695	0.0995479	0.0314312	0.0845972	0.0670696
background371	0.0988689	0.10906	0.10259	0.0421249	0.071778	0.0687536
background372	0.1250855	0.1391245	0.102987	0.0278465	0.06092375	0.071585
